COD_INE;ID_REL;codigo_ine;PROVINCIA;ubicacion;SUPERFICIE;PERIMETRO;LONGITUD_ETRS89;LATITUD_ETRS89;ALTITUD
3045000000;1030456;3220;Alacant/Alicante;Bolulla;1357,1512;16389;-0,11168494;38,67657681;213
3046000000;1030469;3225;Alacant/Alicante;Busot;3361,41;27547;-0,42050568;38,4819618;312
3047000000;1030475;3230;Alacant/Alicante;Calp;2359,3;32303;0,04453809;38,64526261;55
3048000000;1030481;3235;Alacant/Alicante;Callosa d'en Sarrià;3466,1654;30558;-0,12235041;38,65164066;250
3049000000;1030494;3240;Alacant/Alicante;Callosa de Segura;2490,77;41368;-0,87933854;38,12258136;20
3050000000;1030507;3245;Alacant/Alicante;el Campello;5529,68;55497;-0,40086509;38,42754724;26
3051000000;1030514;3250;Alacant/Alicante;el Camp de Mirra/Campo de Mirra;2181,5853;26539;-0,778961778;38,68728729;585
3052000000;1030529;3255;Alacant/Alicante;Cañada;1932,4451;24508;-0,80952172;38,67518917;556
3053000000;1030535;3260;Alacant/Alicante;Castalla;11459,9725;56120;-0,67026538;38,59657643;669
3054000000;1030540;3265;Alacant/Alicante;Castell de Castells;4592,67;28244;-0,19391054;38,72499704;549
3055000000;1030553;3270;Alacant/Alicante;Catral;2002,31;20330;-0,80464175;38,15964959;8
3056000000;1030566;3275;Alacant/Alicante;Cocentaina;5294,4709;38405;-0,44022067;38,74541202;433
3057000000;1030572;3280;Alacant/Alicante;Confrides;3998,3328;30719;-0,26810894;38,68353731;780
3058000000;1030588;3285;Alacant/Alicante;Cox;1670,97;35761;-0,88437585;38,13972138;16
3059000000;1030591;3290;Alacant/Alicante;Crevillent;10455,01;51135;-0,80855322;38,24881414;129
3060000000;1030605;3295;Alacant/Alicante;Quatretondeta;1670,4812;18277;-0,31641906;38,72386675;620
3061000000;1030612;3300;Alacant/Alicante;Daya Nueva;709,3467;11032;-0,76103525;38,11371672;8
3062000000;1030627;3305;Alacant/Alicante;Daya Vieja;314,2879;7310;-0,73805702;38,1047248;6
3063000000;1030633;3310;Alacant/Alicante;Dénia;6640,05;97600;0,10661934;38,84122705;13
3064000000;1030648;3315;Alacant/Alicante;Dolores;1870,1083;21304;-0,76969869;38,13897736;4
3065000000;1030651;3320;Alacant/Alicante;Elx/Elche;32650,14;91867;-0,698854923;38,26536234;81
3066000000;1030664;3325;Alacant/Alicante;Elda;4559,75;30494;-0,79611046;38,47878894;395
3067000000;1030670;3330;Alacant/Alicante;Fageca;1017,479;15760;-0,26771337;38,73467536;769
3068000000;1030686;3335;Alacant/Alicante;Famorca;972,4032;12929;-0,24604552;38,73219338;684
3069000000;1030699;3340;Alacant/Alicante;Finestrat;4226,08;29793;-0,2117688;38,56697349;264
3070000000;1030703;3345;Alacant/Alicante;Formentera del Segura;433,1745;12939;-0,74649853;38,08423377;8
3071000000;1030710;3350;Alacant/Alicante;Gata de Gorgos;2033,87;20128;0,08427495;38,7732101;79
3072000000;1030725;3355;Alacant/Alicante;Gaianes;957,1426;12485;-0,40755768;38,81311114;420
3073000000;1030731;3360;Alacant/Alicante;Gorga;910,6836;18983;-0,35671735;38,71833445;542
3074000000;1030746;3365;Alacant/Alicante;Granja de Rocamora;716,89;41219;-0,89001674;38,15262779;17
3075000000;1030759;3370;Alacant/Alicante;el Castell de Guadalest;1596,02;21929;-0,19735239;38,67694213;571
3076000000;1030762;3375;Alacant/Alicante;Guardamar del Segura;3393,72;33048;-0,65477035;38,08988071;27
3077000000;1030778;3380;Alacant/Alicante;el Fondó de les Neus/Hondón de las Nieves;6885,1772;36777;-0,85486637;38,30855695;367
3078000000;1030784;3385;Alacant/Alicante;Hondón de los Frailes;1254,5898;14915;-0,92699487;38,27358559;413
3079000000;1030797;3390;Alacant/Alicante;Ibi;6252,4351;30903;-0,57466482;38,62745682;754
3080000000;1030801;3395;Alacant/Alicante;Jacarilla;1220,4205;18436;-0,86635637;38,06070041;25
3081000000;1030818;3400;Alacant/Alicante;Xaló;3458,6303;31489;-0,01192072;38,74069906;188
3082000000;1030823;3405;Alacant/Alicante;Xàbia/Jávea;6891,38;58220;0,163523555;38,78906246;46
3083000000;1030839;3410;Alacant/Alicante;Xixona/Jijona;16376,0691;68034;-0,507189631;38,53941113;448
3084000000;1030844;3415;Alacant/Alicante;l'Orxa/Lorcha;3176,4696;24599;-0,311838984;38,84540041;261
3085000000;1030857;3420;Alacant/Alicante;Llíber;2193,274;26922;0,006304;38,74347137;191
3086000000;1030860;3425;Alacant/Alicante;Millena;977,3401;16190;-0,36337482;38,73087323;635
3088000000;1030882;3430;Alacant/Alicante;Monforte del Cid;7952,2261;49689;-0,72989187;38,37928097;228
3089000000;1030895;3435;Alacant/Alicante;Monòver/Monóvar;15235,6842;54964;-0,839000344;38,43694476;389
3090000000;1030909;3440;Alacant/Alicante;Mutxamel;4765,3187;34880;-0,44522331;38,41368396;63
3091000000;1030916;3445;Alacant/Alicante;Murla;581,336;11828;-0,08306874;38,75958883;283
3092000000;1030921;3450;Alacant/Alicante;Muro de Alcoy;3024,3942;31128;-0,4357044;38,77998192;391
3093000000;1030937;3455;Alacant/Alicante;Novelda;7572,424;42521;-0,76539782;38,38606382;241
3094000000;1030942;3460;Alacant/Alicante;la Nucia;2136,1299;30865;-0,12289748;38,61761623;216
3095000000;1030955;3465;Alacant/Alicante;Ondara;1038,53;20306;0,01764367;38,82692459;36
3096000000;1030968;3470;Alacant/Alicante;Onil;4841,0481;33675;-0,6740463;38,62952092;701
3097000000;1030974;3475;Alacant/Alicante;Orba;1772,9579;26196;-0,06371253;38,78039233;154
3098000000;1030980;3480;Alacant/Alicante;Orxeta;2406,2327;30104;-0,2618598;38,56400384;176
3099000000;1030993;3485;Alacant/Alicante;Orihuela;36559,04;234140;-0,949954565;38,08522582;24
3100000000;1031007;3490;Alacant/Alicante;Parcent;1177,04;15015;-0,06446788;38,74571695;290
3101000000;1031014;3495;Alacant/Alicante;Pedreguer;2957,68;24822;0,03432468;38,7935383;85
3102000000;1031029;3500;Alacant/Alicante;Pego;5284,6658;33677;-0,11803172;38,84201714;82
3103000000;1031035;3505;Alacant/Alicante;Penàguila;4991,51;47887;-0,35881625;38,67944195;682
3104000000;1031040;3510;Alacant/Alicante;Petrer;10428,11;43761;-0,76953712;38,48480043;465
3105000000;1031053;3515;Alacant/Alicante;el Pinós/Pinoso;12646,03;59525;-1,04195399;38,40441177;591
3106000000;1031066;3520;Alacant/Alicante;Planes;3886,7596;27974;-0,34478535;38,78583429;451
3107000000;1031072;3525;Alacant/Alicante;Polop;2255,93;22516;-0,12654723;38,62255314;239
3109000000;1031091;3530;Alacant/Alicante;Rafal;156,44;6594;-0,84889051;38,10480713;13
3110000000;1031105;3535;Alacant/Alicante;el Ràfol d'Almúnia;488,79;12854;-0,05280018;38,82066727;87
3111000000;1031112;3540;Alacant/Alicante;Redován;944,7868;22932;-0,90524865;38,1140353;28
3112000000;1031127;3545;Alacant/Alicante;Relleu;7677,3;41044;-0,31086389;38,58727823;435
3113000000;1031133;3550;Alacant/Alicante;Rojales;2772,86;37034;-0,7231866;38,08892037;8
3114000000;1031148;3555;Alacant/Alicante;la Romana;4329,3741;31883;-0,8960138;38,36742371;419
3115000000;1031151;3560;Alacant/Alicante;Sagra;562,49;11699;-0,06512199;38,81142807;103
3116000000;1031164;3565;Alacant/Alicante;Salinas;6171,1716;32115;-0,91278122;38,52006995;493
3117000000;1031170;3590;Alacant/Alicante;Sanet y Negrals;394,1625;8049;-0,03373355;38,81916633;83
3118000000;1031186;3570;Alacant/Alicante;San Fulgencio;2070,11;20939;-0,718882252;38,11200673;3
3119000000;1031199;3575;Alacant/Alicante;Sant Joan d'Alacant;963,8765;13854;-0,43660694;38,40151192;40
3120000000;1031203;3580;Alacant/Alicante;San Miguel de Salinas;5484,62;29622;-0,78930554;37,97713811;87
3121000000;1031210;3595;Alacant/Alicante;Santa Pola;5816,0985;43087;-0,55528061;38,1931155;4
3122000000;1031225;3585;Alacant/Alicante;Sant Vicent del Raspeig/San Vicente del Raspeig;4055,084;38579;-0,522215366;38,39603599;105
3123000000;1031231;3600;Alacant/Alicante;Sax;6348,61;31473;-0,81692328;38,53849557;473
3124000000;1031246;3605;Alacant/Alicante;Sella;3883,05;29631;-0,27218087;38,60812245;412
3125000000;1031259;3610;Alacant/Alicante;Senija;478,6374;11096;0,04175328;38,72826598;231
3127000000;1031278;3620;Alacant/Alicante;Tàrbena;3167,0038;28630;-0,1019394;38,69363337;559
3128000000;1031284;3625;Alacant/Alicante;Teulada;3232,47;34508;0,10231946;38,72911733;183
3129000000;1031297;3630;Alacant/Alicante;Tibi;7038,2694;35711;-0,57799241;38,53125236;517
3130000000;1031301;3635;Alacant/Alicante;Tollos;1597,312;19407;-0,27417974;38,75700785;776
3131000000;1031318;3640;Alacant/Alicante;Tormos;536;14453;-0,0723226;38,80205024;129
3132000000;1031323;3645;Alacant/Alicante;la Torre de les Maçanes/Torremanzanas;3647,9641;29931;-0,419974923;38,60749575;782
3133000000;1031339;3650;Alacant/Alicante;Torrevieja;7176,02;47324;-0,68302608;37,97775873;7
3134000000;1031344;3655;Alacant/Alicante;la Vall d'Alcalà;2285,0561;24552;-0,25201489;38,79456237;639
3135000000;1031357;3660;Alacant/Alicante;la Vall d'Ebo;3242,5432;24069;-0,15985139;38,80574426;392
