Comunidad Autónoma;Provincia;codigo_ine;ubicacion;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
Andalucía;Córdoba;14004;Almedinilla;107;5;14;18;5;36;29;7;14;5;72;9
Andalucía;Córdoba;14005;Almodóvar del Río;759;30;91;173;42;205;218;81;20;47;555;56
Andalucía;Córdoba;14006;Añora;112;5;12;24;6;30;35;5;0;45;58;<5
Andalucía;Córdoba;14007;Baena;1036;45;130;183;75;309;294;130;76;89;631;110
Andalucía;Córdoba;14008;Belalcázar;301;13;27;64;14;76;107;17;13;25;230;16
Andalucía;Córdoba;14009;Belmez;319;7;34;71;9;92;106;15;16;77;192;19
Andalucía;Córdoba;14010;Benamejí;222;15;21;52;16;70;48;27;21;24;121;29
Andalucía;Córdoba;14011;Blázquez, Los;67;<5;9;5;5;16;28;<5;<5;<5;57;<5
Andalucía;Córdoba;14012;Bujalance;333;11;26;67;36;105;88;90;21;35;153;34
Andalucía;Córdoba;14013;Cabra;1212;47;139;213;69;327;417;120;103;70;791;128
Andalucía;Córdoba;14014;Cañete de las Torres;96;0;18;13;5;23;37;8;6;10;63;9
Andalucía;Córdoba;14015;Carcabuey;113;7;11;15;8;38;34;13;<5;<5;82;12
Andalucía;Córdoba;14016;Cardeña;75;8;9;14;<5;11;32;<5;5;12;49;5
Andalucía;Córdoba;14017;Carlota, La;869;43;112;200;41;218;255;98;84;75;540;72
Andalucía;Córdoba;14018;Carpio, El;292;15;33;53;16;70;105;27;38;22;185;20
Andalucía;Córdoba;14019;Castro del Río;331;16;42;63;33;103;74;55;15;35;185;41
Andalucía;Córdoba;14020;Conquista;20;<5;<5;<5;0;6;10;<5;0;<5;14;<5
Andalucía;Córdoba;14021;Córdoba;28946;1235;3880;6319;1175;5922;10415;1251;2285;1976;19862;3572
Andalucía;Córdoba;14022;Doña Mencía;161;8;23;34;16;47;33;14;19;12;95;21
Andalucía;Córdoba;14023;Dos Torres;186;<5;16;34;6;49;77;13;19;23;126;5
Andalucía;Córdoba;14024;Encinas Reales;158;9;19;36;10;35;49;12;11;27;96;12
Andalucía;Córdoba;14025;Espejo;82;5;<5;19;8;26;20;6;5;8;57;6
Andalucía;Córdoba;14026;Espiel;169;9;16;28;8;26;82;10;20;19;109;11
Andalucía;Córdoba;14027;Fernán-Núñez;574;29;88;115;31;158;153;54;38;49;380;53
Andalucía;Córdoba;14028;Fuente la Lancha;37;<5;7;6;<5;10;11;<5;0;9;24;<5
Andalucía;Córdoba;14029;Fuente Obejuna;547;16;50;129;18;117;217;52;28;56;385;26
Andalucía;Córdoba;14030;Fuente Palmera;449;22;61;109;21;114;122;63;33;71;248;34
Andalucía;Córdoba;14031;Fuente-Tójar;27;<5;5;<5;<5;6;8;<5;<5;<5;21;<5
Andalucía;Córdoba;14032;Granjuela, La;57;<5;<5;13;<5;14;24;<5;<5;20;32;<5
Andalucía;Córdoba;14033;Guadalcázar;103;5;15;20;8;29;26;5;7;13;75;<5
Andalucía;Córdoba;14034;Guijo, El;28;5;8;<5;<5;<5;<5;<5;0;0;24;<5
Andalucía;Córdoba;14035;Hinojosa del Duque;633;17;76;92;30;141;277;31;51;63;438;50
Andalucía;Córdoba;14036;Hornachuelos;225;5;23;58;12;57;70;32;9;40;132;12
Andalucía;Córdoba;14037;Iznájar;111;10;12;26;11;27;25;9;8;10;74;10
Andalucía;Córdoba;14038;Lucena;3338;143;348;577;159;906;1205;254;612;165;1934;373
Andalucía;Córdoba;14039;Luque;143;10;18;21;14;35;45;10;14;5;100;14
Andalucía;Córdoba;14040;Montalbán de Córdoba;129;5;25;20;12;46;21;21;15;12;69;12
Andalucía;Córdoba;14041;Montemayor;189;8;23;48;9;57;44;18;11;29;113;18
Andalucía;Córdoba;14042;Montilla;1474;43;169;251;66;338;607;134;192;91;921;136
Andalucía;Córdoba;14043;Montoro;475;19;35;112;26;124;159;65;34;62;279;35
Andalucía;Córdoba;14044;Monturque;111;7;14;20;9;33;28;17;9;12;63;10
Andalucía;Córdoba;14045;Moriles;189;10;23;46;13;56;41;25;21;26;99;18
Andalucía;Córdoba;14046;Nueva Carteya;137;11;31;21;6;37;31;26;10;8;72;21
Andalucía;Córdoba;14047;Obejo;157;5;12;35;11;34;60;<5;6;26;111;12
Andalucía;Córdoba;14048;Palenciana;69;9;5;10;7;20;18;7;<5;<5;42;13
Andalucía;Córdoba;14049;Palma del Río;1225;67;164;232;74;311;377;176;52;113;763;121
Andalucía;Córdoba;14050;Pedro Abad;201;9;18;40;10;58;66;13;16;27;127;18
Andalucía;Córdoba;14051;Pedroche;101;9;10;20;7;22;33;9;<5;14;70;6
Andalucía;Córdoba;14052;Peñarroya-Pueblonuevo;1252;56;176;251;47;317;405;53;53;130;896;120
Andalucía;Córdoba;14053;Posadas;445;15;60;89;27;97;157;51;19;53;290;32
Andalucía;Córdoba;14054;Pozoblanco;1242;43;128;216;60;325;470;99;97;120;787;139
Andalucía;Córdoba;14055;Priego de Córdoba;1405;56;167;238;68;348;528;115;207;87;865;131
Andalucía;Córdoba;14056;Puente Genil;2375;98;319;402;118;628;810;329;313;152;1294;287
Andalucía;Córdoba;14057;Rambla, La;372;11;49;81;16;102;113;31;54;25;233;29
Andalucía;Córdoba;14058;Rute;422;20;48;107;29;92;126;48;61;48;221;44
Andalucía;Córdoba;14059;San Sebastián de los Ballesteros;44;<5;<5;16;<5;15;7;<5;<5;8;30;<5
Andalucía;Córdoba;14060;Santaella;154;11;17;25;9;53;39;18;12;10;103;11
Andalucía;Córdoba;14061;Santa Eufemia;59;<5;7;14;<5;6;24;5;<5;9;41;<5
Andalucía;Córdoba;14062;Torrecampo;57;<5;<5;16;<5;15;19;<5;<5;15;34;<5
Andalucía;Córdoba;14063;Valenzuela;22;<5;<5;7;<5;<5;6;<5;0;<5;13;<5
Andalucía;Córdoba;14064;Valsequillo;29;0;<5;<5;<5;13;9;<5;<5;6;19;<5
Andalucía;Córdoba;14065;Victoria, La;136;14;14;36;<5;36;33;11;9;26;83;7
Andalucía;Córdoba;14066;Villa del Río;518;27;66;116;31;113;165;66;122;40;244;46
Andalucía;Córdoba;14067;Villafranca de Córdoba;346;23;27;70;16;93;117;26;29;25;242;24
Andalucía;Córdoba;14068;Villaharta;52;<5;7;14;<5;13;15;0;<5;<5;46;<5
Andalucía;Córdoba;14069;Villanueva de Córdoba;443;16;61;91;20;119;136;61;26;28;309;19
Andalucía;Córdoba;14070;Villanueva del Duque;90;0;8;24;<5;20;36;8;<5;25;53;<5
Andalucía;Córdoba;14071;Villanueva del Rey;98;<5;11;15;5;29;35;7;<5;10;72;5
Andalucía;Córdoba;14072;Villaralto;54;<5;6;13;<5;16;13;6;<5;10;32;<5
Andalucía;Córdoba;14073;Villaviciosa de Córdoba;261;8;29;63;11;49;101;45;16;30;147;23
Andalucía;Córdoba;14074;Viso, El;161;6;23;34;17;46;35;10;7;11;119;14
Andalucía;Córdoba;14075;Zuheros;20;<5;<5;6;0;<5;7;0;0;<5;16;<5
Andalucía;Córdoba;14901;Fuente Carreteros;49;<5;7;15;<5;7;13;<5;<5;8;27;7
Andalucía;Córdoba;14902;Guijarrosa, La;41;0;6;9;<5;11;12;5;6;<5;25;<5
Andalucía;Granada;18001;Agrón;16;<5;<5;<5;<5;6;<5;<5;<5;0;9;<5
Andalucía;Granada;18002;Alamedilla;28;<5;0;9;<5;8;8;<5;0;16;9;0
Andalucía;Granada;18003;Albolote;1524;88;236;265;62;348;525;76;96;148;1013;191
Andalucía;Granada;18004;Albondón;46;<5;7;12;<5;8;14;7;<5;8;21;7
Andalucía;Granada;18005;Albuñán;26;<5;<5;10;<5;5;7;6;<5;<5;17;0
Andalucía;Granada;18006;Albuñol;370;27;65;76;19;109;74;85;10;28;206;41
Andalucía;Granada;18007;Albuñuelas;50;5;7;15;<5;11;9;7;<5;15;21;6
Andalucía;Granada;18010;Aldeire;47;0;9;14;<5;11;11;0;<5;15;29;<5
Andalucía;Granada;18011;Alfacar;456;22;74;96;17;119;128;15;43;51;304;43
Andalucía;Granada;18012;Algarinejo;72;<5;5;19;5;21;18;18;<5;9;34;9
Andalucía;Granada;18013;Alhama de Granada;243;12;36;56;9;58;72;47;10;25;141;20
Andalucía;Granada;18014;Alhendín;834;49;121;161;27;221;255;18;47;74;615;80
Andalucía;Granada;18015;Alicún de Ortega;13;<5;<5;<5;<5;<5;<5;<5;0;0;10;0
Andalucía;Granada;18016;Almegíjar;22;<5;<5;9;<5;5;<5;<5;<5;<5;16;<5
Andalucía;Granada;18017;Almuñécar;1805;65;229;479;60;379;593;88;81;168;1289;179
Andalucía;Granada;18018;Alquife;50;<5;9;15;<5;7;17;<5;<5;10;31;<5
Andalucía;Granada;18020;Arenas del Rey;35;0;<5;6;<5;8;17;<5;<5;<5;25;<5
Andalucía;Granada;18021;Armilla;2254;96;298;444;110;589;717;57;89;154;1697;257
Andalucía;Granada;18022;Atarfe;1818;74;265;349;99;518;513;96;132;175;1197;218
Andalucía;Granada;18023;Baza;1490;71;211;343;74;365;426;155;111;104;949;171
Andalucía;Granada;18024;Beas de Granada;60;0;13;8;<5;11;25;<5;<5;<5;54;<5
Andalucía;Granada;18025;Beas de Guadix;32;<5;5;6;<5;7;11;<5;<5;<5;24;<5
Andalucía;Granada;18027;Benalúa;413;17;70;87;26;108;105;53;34;46;255;25
Andalucía;Granada;18028;Benalúa de las Villas;48;<5;6;9;<5;14;11;7;<5;12;18;7
Andalucía;Granada;18029;Benamaurel;158;11;20;40;13;43;31;21;24;<5;93;16
