ubicacion,codigo_ine,Comunidad Autónoma,Provincia,%_casas_vacias,Viviendas totales,Mediana consumo anual,Viviendas con bajo consumo,Viviendas de uso esporádico,prev_res_misma_vivienda,prev_res_mismo_municipio,prev_res_misma_provincia,prev_res_misma_comunidad,prev_res_dif_comunidad,prev_res_en_extranjero,prev_res_no_nacido,Poblacion,Poblacion_-16,Poblacion_16-64,Poblacion_+65,Hombres,Hombres_-16,Hombres_16-64,Hombres_+65,Mujeres,Mujeres_-16,Mujeres_16-64,Mujeres_+65,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior,SUPERFICIE,PERIMETRO,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD
    08262 Sant Vicenç de Castellet,8262,Cataluña,Barcelona,8.1374321880651,4424,2241,125,312,2720,3434,1848,114,184,535,1003,9838,1662,6302,1874,4944,897,3249,798,4894,765,3053,1076,524,18,60,119,10,106,211,5,95,49,323,52,1738.95,31355,1.863874624,41.66566416,168.71
    08263 Sant Vicenç dels Horts,8263,Cataluña,Barcelona,7.797051170858629,11530,2530,180,588,9759,10678,3412,289,483,971,2528,28120,4544,18736,4840,13926,2325,9497,2104,14194,2219,9239,2736,1380,62,165,281,54,254,564,11,161,111,985,112,927.67,15042,2.01065601,41.39272464,23.0
    08264 Sant Vicenç de Montalt,8264,Cataluña,Barcelona,11.960132890365449,3612,2821,65,336,2278,1364,1763,73,106,409,564,6557,1098,4312,1147,3300,586,2154,560,3257,512,2158,587,200,7,23,63,3,20,86,0,31,11,152,6,789.8888,15089,2.50930848,41.57840228,142.0
    08265 Sant Vicenç de Torelló,8265,Cataluña,Barcelona,13.099041533546329,939,2623,16,52,681,725,392,28,11,44,193,2074,342,1351,381,1029,184,678,167,1045,158,673,214,74,4,5,20,5,11,30,3,23,5,42,4,659.24,13792,2.27397845,42.06177103,556.0
    08266 Cerdanyola del Vallès,8266,Cataluña,Barcelona,2.9382177885824463,23858,2338,266,1105,16307,24623,6808,603,1266,3202,4526,57335,8338,37497,11500,27998,4326,18642,5030,29337,4012,18855,6470,2130,107,325,488,75,361,774,8,220,110,1639,153,3086.08,26482,2.1398926,41.49134054,84.0
    08267 Sentmenat,8267,Cataluña,Barcelona,6.265664160401002,3990,2731,65,202,3179,2863,1778,81,161,219,1041,9322,1734,6203,1385,4714,884,3187,643,4608,850,3016,742,368,14,53,79,16,79,127,7,85,27,229,20,2844.78,28309,2.1363655,41.60616497,204.0
    08268 Cercs,8268,Cataluña,Barcelona,24.840182648401825,1095,1590,69,188,291,541,222,22,6,17,93,1192,149,720,323,598,81,384,133,594,68,336,190,64,3,8,18,1,9,27,2,8,1,49,1,4709.01,47002,1.85940418,42.14666431,660.0
    08269 Seva,8269,Cataluña,Barcelona,9.571129707112972,1912,2812,30,117,1322,1047,792,45,56,116,323,3701,596,2469,636,1910,322,1281,307,1791,274,1188,329,113,7,13,34,1,13,44,3,24,1,79,4,3047.62,43271,2.28006068,41.83939841,662.0
    08270 Sitges,8270,Cataluña,Barcelona,10.520020800832034,19230,2145,606,1939,7938,8720,5291,462,975,4422,2449,30257,4367,20165,5725,15122,2261,10297,2564,15135,2106,9868,3161,935,16,114,259,14,160,372,5,47,39,798,48,4370.3265,47006,1.80568423,41.23716944,8.0
    08273 Subirats,8273,Cataluña,Barcelona,13.571428571428571,1680,3132,32,113,1081,1057,593,44,35,84,265,3159,494,2038,627,1644,264,1082,298,1515,230,956,329,103,5,13,32,4,13,41,2,25,4,66,7,5585.02,47343,1.7964459,41.38137113,239.0
    08274 Súria,8274,Cataluña,Barcelona,10.223752151462994,2905,2385,64,163,1970,2573,485,61,92,225,510,5916,829,3720,1367,2872,420,1883,569,3044,409,1837,798,263,10,32,65,2,44,110,8,46,22,177,10,2361.36,22448,1.7528779,41.83132081,290.0
    08278 Taradell,8278,Cataluña,Barcelona,5.42740841248304,2948,2622,60,172,2225,2327,1046,98,86,231,658,6671,1124,4264,1283,3331,598,2155,578,3340,526,2109,705,219,14,35,46,4,41,80,4,33,10,160,14,2661.56,34864,2.28776594,41.87339318,631.0
    08279 Terrassa,8279,Cataluña,Barcelona,9.515098779836652,101134,2250,1714,5265,71596,88587,20259,2282,4532,12596,22723,222576,39146,145349,38081,109501,20249,73156,16096,113075,18897,72193,21985,12136,458,1689,2795,398,2593,4203,77,1396,1304,8039,1320,7011.73,60358,2.01215141,41.56236346,281.0
    08281 Teià,8281,Cataluña,Barcelona,6.572595618269587,2693,2886,32,139,1937,2194,1374,60,114,259,575,6513,1031,4119,1363,3220,557,2058,605,3293,474,2061,758,196,7,28,44,6,37,74,1,17,15,150,12,672.36,13147,2.31966318,41.50009229,119.0
    08282 Tiana,8282,Cataluña,Barcelona,4.365541327124563,3436,2749,35,138,3240,2547,1820,81,150,261,926,9025,1600,5881,1544,4353,788,2863,702,4672,812,3018,842,224,10,19,56,1,44,92,2,29,13,173,8,795.03,12482,2.26828224,41.48460833,137.0
    08283 Tona,8283,Cataluña,Barcelona,4.216366158113731,3605,2504,71,186,2919,2921,1191,121,109,347,757,8365,1387,5468,1510,4145,705,2767,673,4220,682,2701,837,270,11,50,59,8,43,99,5,67,16,170,12,1642.94,23988,2.22740699,41.85002707,597.0
    08284 Tordera,8284,Cataluña,Barcelona,16.62858329871209,9628,2432,209,694,5618,5240,2528,1345,367,823,1862,17783,3140,11590,3053,9016,1648,5953,1415,8767,1492,5637,1638,1048,30,149,264,37,214,354,20,126,93,736,73,8450.23,55032,2.7192519,41.69992525,41.0
