ubicacion,codigo_ine,Comunidad Autónoma,Provincia,%_casas_vacias,Viviendas totales,Mediana consumo anual,Viviendas con bajo consumo,Viviendas de uso esporádico,prev_res_misma_vivienda,prev_res_mismo_municipio,prev_res_misma_provincia,prev_res_misma_comunidad,prev_res_dif_comunidad,prev_res_en_extranjero,prev_res_no_nacido,Poblacion,Poblacion_-16,Poblacion_16-64,Poblacion_+65,Hombres,Hombres_-16,Hombres_16-64,Hombres_+65,Mujeres,Mujeres_-16,Mujeres_16-64,Mujeres_+65,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior,SUPERFICIE,PERIMETRO,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD
    41060 Marchena,41060,Andalucía,Sevilla,14.668229354489725,11092,2972,319,829,7222,8984,607,170,176,224,1995,19378,3491,12419,3468,9618,1782,6267,1569,9760,1709,6152,1899,1444,62,197,248,79,403,455,97,233,132,840,142,37904.17,89282,-5.41641222,37.33366244,140.0
    41061 Marinaleda,41061,Andalucía,Sevilla,24.328593996840443,1266,2880,28,101,760,1447,105,26,23,20,246,2627,411,1759,457,1338,211,912,215,1289,200,847,242,89,11,10,11,7,26,24,23,11,11,40,3,2482.212,26356,-4.96269072,37.37115941,203.0
    41062 Martín de la Jara,41062,Andalucía,Sevilla,13.75579598145286,1294,2801,35,95,809,1377,103,51,26,49,247,2662,390,1785,487,1369,210,934,225,1293,180,851,262,82,2,10,17,6,30,16,13,5,6,56,2,4922.59,35474,-4.96082158,37.10715123,404.0
    41064 Montellano,41064,Andalucía,Sevilla,22.914040836904466,3967,2626,108,323,2632,3202,192,123,111,63,697,7020,1187,4649,1184,3513,608,2370,535,3507,579,2279,649,415,22,70,94,33,103,93,58,25,79,221,32,11683.25,47952,-5.57079248,36.99536489,269.0
    41065 Morón de la Frontera,41065,Andalucía,Sevilla,12.904433792690234,13352,2750,263,880,9206,14088,650,307,554,314,2462,27581,4241,18030,5310,13561,2174,9103,2284,14020,2067,8927,3026,2045,97,202,416,95,465,770,210,228,103,1316,188,43193.91,115670,-5.44898927,37.12022462,293.0
    41067 Olivares,41067,Andalucía,Sevilla,6.996381182147165,4145,3296,72,247,3490,3805,933,95,118,166,859,9466,1603,6472,1391,4724,845,3231,648,4742,758,3241,743,903,34,123,169,39,195,343,46,49,118,610,80,4549.21,42102,-6.15621373,37.4183665,170.0
    41068 Osuna,41068,Andalucía,Sevilla,12.016953378209925,8022,2984,138,528,6453,8301,480,216,219,220,1706,17595,2982,11652,2961,8745,1575,5892,1278,8850,1407,5760,1683,1328,82,209,230,124,363,320,102,56,74,966,130,59224.3,136994,-5.10120623,37.23757134,322.0
    41070 Palomares del Río,41070,Andalucía,Sevilla,9.305443818718157,3729,3678,21,127,4385,1027,2022,181,167,156,1098,9036,1994,6033,1009,4524,1012,3041,471,4512,982,2992,538,589,26,59,124,14,119,247,2,38,47,446,54,1309.54,19342,-6.05681494,37.3227078,31.0
    41071 Paradas,41071,Andalucía,Sevilla,11.669855151680787,3659,2659,125,321,2612,3232,287,39,74,51,600,6895,1118,4421,1356,3429,581,2259,589,3466,537,2162,767,366,15,54,89,23,100,85,26,41,39,234,26,10977.87,54106,-5.49618766,37.28989484,122.0
    41072 Pedrera,41072,Andalucía,Sevilla,10.934136891950065,2323,3051,75,209,1693,2566,130,73,59,109,547,5178,879,3471,828,2542,433,1756,353,2636,446,1715,475,255,13,32,61,17,56,76,37,25,43,135,15,6063.7901,56946,-4.89550627,37.22335024,457.0
    41074 Peñaflor,41074,Andalucía,Sevilla,16.81333950903196,2159,2715,54,198,1173,1801,142,106,81,20,336,3659,565,2380,714,1834,294,1245,295,1825,271,1135,419,115,4,18,32,2,27,31,25,3,18,63,6,8289.1914,45730,-5.34723844,37.70741419,51.0
    41075 Pilas,41075,Andalucía,Sevilla,12.16931216931217,6804,2848,198,624,4572,6346,725,232,178,416,1445,13914,2496,9334,2084,6963,1284,4786,893,6951,1212,4548,1191,979,64,137,197,70,246,265,128,59,145,577,70,4593.43,48079,-6.30277734,37.30120943,66.0
    41076 Pruna,41076,Andalucía,Sevilla,26.430976430976436,1782,2022,85,209,937,1233,54,77,57,66,190,2614,346,1701,567,1329,182,894,253,1285,164,807,314,149,16,21,33,19,33,27,26,5,26,76,16,10063.8628,43770,-5.22174386,36.97277038,546.0
    41085 Salteras,41085,Andalucía,Sevilla,6.231198968629136,2327,3488,32,103,2397,1609,800,73,118,102,551,5650,1068,3826,756,2723,520,1859,344,2927,548,1967,412,390,16,48,77,9,70,170,5,21,34,306,24,5745.1,57056,-6.11166812,37.41866404,152.0
    41086 San Juan de Aznalfarache,41086,Andalucía,Sevilla,16.987757426212394,10537,2623,159,543,6736,7164,3783,543,542,1156,2360,22284,4050,14514,3720,10720,2048,7164,1508,11564,2002,7350,2212,2471,91,348,529,108,561,834,67,105,192,1786,321,407.33,11875,-6.02715361,37.36584669,44.0
    41087 Sanlúcar la Mayor,41087,Andalucía,Sevilla,13.117027176927342,7212,3177,102,430,4567,5478,1677,281,258,367,1399,14027,2478,9403,2146,6904,1286,4673,945,7123,1192,4730,1201,1283,55,181,245,42,287,473,46,55,120,966,96,13616.38,98431,-6.20123512,37.38407444,141.0
    41089 Santiponce,41089,Andalucía,Sevilla,10.27455420322672,3533,3256,38,139,3366,3105,833,121,109,123,874,8531,1567,5648,1316,4241,804,2854,583,4290,763,2794,733,806,39,89,157,27,181,313,20,37,64,623,62,835.45,23450,-6.03627975,37.43302379,15.0
    41091 Sevilla,41091,Andalucía,Sevilla,7.520319615874499,327393,2650,4990,17200,227253,307873,32174,15771,13746,26662,60858,684340,105221,443264,135855,324741,54003,216211,54527,359599,51218,227053,81328,57488,2344,7930,12473,2225,11980,20536,1232,2546,3450,41945,8315,14200.48,74229,-5.99251368,37.38620512,11.0
    41092 Tocina,41092,Andalucía,Sevilla,11.046119235095611,4445,3166,95,292,3527,4207,488,81,205,127,900,9535,1551,6351,1633,4723,798,3196,729,4812,753,3155,904,506,38,75,93,35,133,132,67,20,27,346,46,1561.84,18788,-5.73448545,37.61059891,25.0
    41093 Tomares,41093,Andalucía,Sevilla,9.018541889136976,10301,3325,81,327,9939,7237,3390,689,742,587,2907,25491,5190,16764,3537,12607,2740,8272,1595,12884,2450,8492,1942,1368,50,173,277,39,251,578,21,66,82,1056,143,521.92,11520,-6.04697812,37.37503003,74.0
    41094 Umbrete,41094,Andalucía,Sevilla,7.668231611893583,3834,3342,46,207,3729,2562,1194,147,184,175,1113,9105,2025,5971,1109,4541,1078,2948,515,4564,947,3023,594,676,27,77,156,21,149,246,27,45,135,428,41,1241.73,22878,-6.15767822,37.36979771,119.0
    41095 Utrera,41095,Andalucía,Sevilla,8.041684759009987,23030,2967,384,1282,19711,21656,2476,734,942,611,5099,51229,8899,34114,8216,25315,4614,17059,3642,25914,4285,17055,4574,5234,206,633,895,238,1286,1976,388,368,535,3397,546,65128.68,238942,-5.78089198,37.17935222,49.0
    41096 Valencina de la Concepción,41096,Andalucía,Sevilla,9.187675070028012,3570,3699,34,135,3663,2263,1048,105,101,141,598,7919,1224,5362,1333,3883,613,2668,602,4036,611,2694,731,644,26,75,143,26,126,248,6,21,53,507,57,2508.63,26306,-6.07689896,37.41595233,150.0
    41097 Villamanrique de la Condesa,41097,Andalucía,Sevilla,11.89446366782007,2312,3180,51,188,1413,1915,287,81,64,289,459,4508,836,2926,746,2203,417,1463,323,2305,419,1463,423,208,9,35,46,14,54,50,44,13,23,117,11,5766.7202,36408,-6.30651195,37.24619138,30.0
    41098 Villanueva del Ariscal,41098,Andalucía,Sevilla,11.64274322169059,3135,3292,32,170,2635,2040,1113,115,93,67,638,6701,1183,4505,1013,3279,601,2248,430,3422,582,2257,583,646,17,82,141,10,141,255,27,33,60,472,54,471.8,10117,-6.14127425,37.3956232,151.0
    41099 Villanueva del Río y Minas,41099,Andalucía,Sevilla,31.90522557611165,3081,2187,103,282,1683,2200,320,44,202,58,411,4918,736,3144,1038,2476,389,1627,460,2442,347,1517,578,460,14,52,107,21,110,156,90,15,55,264,36,15070.88,83937,-5.711748,37.65723193,61.0
    41100 Villanueva de San Juan,41100,Andalucía,Sevilla,32.754629629629626,864,1840,45,92,327,584,50,12,33,13,56,1075,119,699,257,533,57,359,117,542,62,340,140,52,2,5,18,2,11,13,8,1,9,27,5,3474.3276,41305,-5.17565452,37.05037491,469.0
    41101 Villaverde del Río,41101,Andalucía,Sevilla,9.33954029677044,3437,3098,73,287,2657,3502,579,72,110,128,771,7819,1347,5292,1180,3951,712,2704,535,3868,635,2588,645,485,36,75,92,42,107,133,67,30,73,266,49,4114.22,28139,-5.8734948,37.58785018,17.0
    41901 Cañada Rosal,41901,Andalucía,Sevilla,12.380382775119616,1672,3027,42,141,1128,1633,148,34,54,21,332,3350,566,2200,584,1659,285,1098,276,1691,281,1102,308,207,21,33,32,24,45,52,13,34,37,95,28,2582.51,35814,-5.21129413,37.59873915,157.0
    41902 Isla Mayor,41902,Andalucía,Sevilla,16.208496965369513,2801,2894,72,234,2154,2694,228,80,74,56,553,5839,1001,3884,954,2914,526,1958,430,2925,475,1926,524,376,13,59,78,22,95,109,65,65,18,212,16,11438.222,60734,-6.16284896,37.13384448,4.0
    22007 Albalate de Cinca,22007,Aragón,Huesca,18.59649122807017,570,2777,13,52,296,516,40,7,82,89,89,1119,146,715,258,610,81,408,121,509,65,307,137,21,0,4,5,3,1,9,3,5,3,11,0,4423.1961,28799,0.14512716,41.72129514,189.0
    22017 Alcolea de Cinca,22017,Aragón,Huesca,24.96644295302013,745,2514,26,69,460,351,60,22,93,116,86,1188,155,745,288,646,83,420,143,542,72,325,145,21,0,4,3,0,4,14,5,5,0,11,0,8324.0781,42802,0.11891268,41.718281,186.0
    22021 Almudévar,22021,Aragón,Huesca,32.2277501381979,1809,2333,64,158,692,1060,224,62,105,53,215,2411,356,1440,615,1208,175,758,275,1203,181,682,340,63,5,6,16,2,14,19,5,8,5,46,2,20148.6074,70621,-0.58093381,42.04438111,426.0
    22025 Altorricón,22025,Aragón,Huesca,27.982162764771463,897,2431,34,77,398,635,34,40,124,107,103,1441,189,896,356,787,101,531,155,654,88,365,201,41,4,10,5,2,8,11,16,1,1,22,0,3241.1429,27872,0.41430272,41.80356286,263.0
    22039 Ayerbe,22039,Aragón,Huesca,27.254707631318137,1009,1655,83,160,330,412,77,51,59,35,57,1021,124,591,306,505,61,300,144,516,63,291,162,41,4,3,11,0,8,16,5,2,4,25,7,6389.3308,43278,-0.68918162,42.2778874,583.0
    22048 Barbastro,22048,Aragón,Huesca,8.888187651204376,9507,2090,281,833,5571,7216,893,171,835,882,1600,17168,2716,10872,3580,8363,1396,5389,1578,8805,1320,5483,2002,681,33,123,119,35,147,224,35,81,35,446,84,10759.8163,51565,0.12246205,42.03662727,343.0
    22052 Belver de Cinca,22052,Aragón,Huesca,23.39791356184799,671,3051,21,31,288,622,44,25,100,121,104,1304,175,793,336,758,100,489,169,546,75,304,167,18,5,3,5,2,6,1,5,1,4,8,5,8262.2,56672,0.17837924,41.68936273,196.0
    22053 Benabarre,22053,Aragón,Huesca,26.4859228362878,959,1749,95,128,276,486,54,19,154,77,91,1157,161,654,342,601,93,342,166,556,68,312,176,37,4,5,13,2,1,12,3,2,3,25,3,15714.3665,76137,0.48188113,42.10699352,774.0
    22054 Benasque,22054,Aragón,Huesca,9.407069555302169,3508,835,494,1209,532,790,184,160,290,95,185,2236,330,1640,266,1208,187,878,143,1028,143,762,123,27,0,6,6,0,8,7,3,3,2,22,5,23332.44,79705,0.52378621,42.60496129,1140.0
    22059 Biescas,22059,Aragón,Huesca,13.774436090225564,3325,794,551,1105,549,423,108,138,150,65,123,1556,203,1050,303,817,107,565,145,739,96,485,158,35,3,6,8,4,8,9,0,5,3,26,4,18909.2452,97189,-0.32447488,42.6290567,860.0
    22060 Binaced,22060,Aragón,Huesca,24.064837905236907,802,2774,29,62,389,724,88,15,112,151,115,1594,204,1001,389,871,102,581,188,723,102,420,201,36,1,3,8,2,7,15,4,14,2,14,4,7848.9446,49029,0.20105813,41.82670647,277.0
    22061 Binéfar,22061,Aragón,Huesca,11.693791440626883,4977,2377,130,375,2970,4004,433,73,592,873,907,9852,1576,6343,1933,5214,849,3523,842,4638,727,2820,1091,269,25,44,55,10,59,76,23,53,20,156,17,2509.03,25602,0.2934451,41.85299404,283.0
    22066 Boltaña,22066,Aragón,Huesca,22.611744084136724,1141,1318,120,247,279,358,88,45,132,70,93,1065,151,716,198,573,91,386,96,492,60,330,102,51,1,7,18,5,12,9,3,4,1,44,4,13945.1819,83909,0.06715744,42.44600456,643.0
    22112 Fraga,22112,Aragón,Huesca,13.393085787451986,7810,2645,171,485,4523,6139,364,161,989,1331,1612,15119,2587,9876,2656,7767,1324,5270,1173,7352,1263,4606,1483,385,24,62,80,16,93,110,91,37,17,225,15,43780.81,136178,0.3489743,41.52221149,125.0
    22116 Grañén,22116,Aragón,Huesca,26.170798898071624,1089,2298,47,105,337,924,135,25,100,89,126,1736,208,1075,453,900,109,583,208,836,99,492,245,54,0,12,12,0,11,19,5,1,1,40,1,12397.8962,69239,-0.369713,41.94169501,337.0
    22117 Graus,22117,Aragón,Huesca,30.32115869017632,3176,1890,210,373,833,1552,263,53,255,165,305,3426,463,2154,809,1707,231,1109,367,1719,232,1045,442,90,5,11,18,3,19,39,2,2,10,67,5,29978.5633,133285,0.33439454,42.18755481,542.0
    22119 Gurrea de Gállego,22119,Aragón,Huesca,33.41836734693878,1176,2410,39,89,340,817,36,105,35,53,90,1476,142,842,492,756,72,455,229,720,70,387,263,28,5,5,6,4,7,11,0,1,3,19,1,19188.88,74070,-0.76170927,42.01264086,341.0
    22125 Huesca,22125,Aragón,Huesca,6.537241120474939,29309,1833,747,2782,14533,24254,3301,998,2232,2906,5151,53377,8627,33733,11017,25500,4381,16560,4559,27877,4246,17173,6458,2182,157,334,416,140,521,614,69,172,138,1519,284,16104.3005,93715,-0.40842276,42.14062739,483.0
    22130 Jaca,22130,Aragón,Huesca,12.046593035186191,16569,1085,2064,4599,3529,5754,584,497,1228,613,1146,13351,1981,8808,2562,6549,965,4456,1128,6802,1016,4352,1434,488,37,81,73,40,110,147,8,18,35,386,41,40633.9712,136130,-0.54955746,42.57073634,818.0
    22137 Lanaja,22137,Aragón,Huesca,32.53234750462107,1082,2054,54,130,250,670,72,52,45,36,58,1183,93,720,370,619,51,399,169,564,42,321,201,29,2,5,8,0,1,12,9,2,1,15,2,18369.5807,74419,-0.32899321,41.77215652,369.0
    22158 Monzón,22158,Aragón,Huesca,9.75447172536385,9001,2115,299,807,5759,6951,826,174,981,965,1775,17431,2955,11178,3298,8846,1581,5821,1444,8585,1374,5357,1854,784,47,108,142,46,199,242,54,129,50,461,90,15502.2476,79819,0.1946465,41.91031171,278.0
    22199 Sabiñánigo,22199,Aragón,Huesca,16.472247147801564,7801,1465,572,1439,2616,4429,395,221,553,385,761,9360,1308,5949,2103,4675,661,3084,930,4685,647,2865,1173,395,25,58,86,21,79,126,12,31,34,284,34,58681.7701,228122,-0.36403034,42.51870902,797.0
    22204 Sallent de Gállego,22204,Aragón,Huesca,13.837591702504426,3953,816,498,1337,530,494,67,93,146,53,121,1504,219,1053,232,737,92,529,116,767,127,524,116,11,4,5,4,3,2,2,0,0,2,10,0,16213.8163,70182,-0.33156802,42.77273083,1304.0
    22213 Sariñena,22213,Aragón,Huesca,16.00486223662885,2468,2363,86,229,1153,1885,182,72,201,284,364,4141,606,2626,909,2167,332,1410,425,1974,274,1216,484,139,5,14,29,7,35,50,20,14,12,84,9,27556.5625,98537,-0.15766688,41.79070883,282.0
    22225 Tamarite de Litera,22225,Aragón,Huesca,32.716297786720325,2485,2349,85,194,1030,1547,145,35,238,185,264,3444,483,2063,898,1772,252,1123,397,1672,231,940,501,79,10,8,17,5,17,23,13,15,6,40,5,11087.38,75797,0.42208747,41.87052624,371.0
    22234 Torrente de Cinca,22234,Aragón,Huesca,11.4,500,2684,10,56,247,543,50,14,76,305,62,1297,125,902,270,735,74,548,113,562,51,354,157,16,0,1,2,2,5,9,5,2,2,11,4,5647.83,31710,0.33485785,41.47283705,108.0
    22254 Zaidín,22254,Aragón,Huesca,14.668218859138532,859,3017,21,56,411,764,64,8,143,340,139,1869,224,1249,396,987,109,697,181,882,115,552,215,38,2,8,6,6,10,5,19,5,0,15,1,9255.3224,40770,0.26337049,41.60434032,156.0
    22907 Aínsa-Sobrarbe,22907,Aragón,Huesca,13.103070175438598,1824,1690,147,308,589,852,184,65,161,201,248,2300,388,1529,383,1155,210,760,185,1145,178,769,198,41,2,7,1,0,8,22,3,3,5,37,0,28476.5814,113211,0.13960049,42.41711065,586.0
    44008 Albalate del Arzobispo,44008,Aragón,Teruel,30.3743961352657,1656,2361,110,177,564,972,55,111,75,60,143,1980,247,1218,515,1017,121,664,232,963,126,554,283,52,4,2,12,0,8,26,4,10,2,37,5,20568.6966,65317,-0.51092341,41.12084779,343.0
    44013 Alcañiz,44013,Aragón,Teruel,12.170212765957448,9400,2014,397,900,5570,6505,720,344,653,565,1649,16006,2848,10095,3063,7999,1445,5183,1371,8007,1403,4912,1692,606,36,69,104,34,170,193,32,45,31,426,72,47211.6708,108922,-0.13284433,41.05125534,335.0
    44014 Alcorisa,44014,Aragón,Teruel,22.65331664580726,2397,2068,158,294,1105,1427,150,50,174,74,312,3292,533,2058,701,1685,284,1069,332,1607,249,989,369,110,1,12,34,2,27,33,10,13,8,72,7,12119.9224,67256,-0.38074056,40.89137363,632.0
    44025 Andorra,44025,Aragón,Teruel,17.853081646577213,4397,3161,147,377,2417,3510,217,133,267,202,589,7335,992,4842,1501,3687,483,2512,692,3648,509,2330,809,277,14,33,49,16,63,102,6,30,28,179,34,14135.9454,53123,-0.44371856,40.97509431,716.0
    44050 Calamocha,44050,Aragón,Teruel,23.21475625823452,3795,1945,281,537,1370,1843,246,148,228,209,413,4457,713,2848,896,2205,372,1432,401,2252,341,1416,495,162,12,27,32,10,39,42,17,19,12,102,12,31662.7162,88083,-1.30091517,40.91961258,884.0
    44051 Calanda,44051,Aragón,Teruel,27.49710759737756,2593,2208,126,271,1012,1759,119,59,172,300,322,3743,513,2419,811,1860,254,1243,363,1883,259,1176,448,113,5,13,26,5,23,41,13,15,10,65,10,11224.9628,51725,-0.23142924,40.93854542,452.0
    44076 Cella,44076,Aragón,Teruel,19.40382452193476,1778,1820,132,247,678,1375,136,23,105,62,194,2573,337,1528,708,1330,172,827,331,1243,165,701,377,106,6,19,19,8,25,29,4,14,8,69,11,12467.6933,62040,-1.28767198,40.45488538,1025.0
    44122 Híjar,44122,Aragón,Teruel,31.89710610932476,1555,1946,93,192,533,781,63,57,72,119,131,1756,231,1076,449,902,102,597,203,854,129,479,246,73,0,2,22,5,10,33,2,6,8,50,6,16535.8522,99059,-0.45090849,41.17579857,297.0
    44145 Mas de las Matas,44145,Aragón,Teruel,26.58333333333333,1200,1797,120,167,359,586,98,38,58,40,91,1270,152,746,372,664,79,412,173,606,73,334,199,47,5,11,9,1,8,13,6,5,6,24,6,2998.6243,23986,-0.2416086,40.83375152,498.0
    44153 Monreal del Campo,44153,Aragón,Teruel,23.93887945670628,1767,1926,134,218,735,1056,154,50,126,106,288,2517,445,1582,490,1253,226,804,223,1264,219,778,267,69,5,7,14,5,20,19,5,11,4,39,10,8904.7828,40419,-1.35403777,40.79010149,943.0
    44155 Montalbán,44155,Aragón,Teruel,28.879668049792528,1205,1622,120,182,299,715,51,28,58,10,77,1238,133,753,352,629,63,392,174,609,70,361,178,19,4,2,7,1,4,7,0,2,2,12,3,8203.8783,45611,-0.79841599,40.83220326,850.0
    44158 Mora de Rubielos,44158,Aragón,Teruel,22.596879718168093,1987,1213,222,450,463,595,131,9,166,46,130,1540,232,1028,280,768,113,526,129,772,119,502,151,48,3,6,13,0,5,23,4,7,4,32,2,16628.58,63618,-0.75353912,40.25239335,1038.0
    44209 Santa Eulalia,44209,Aragón,Teruel,26.631016042780747,935,1615,90,151,278,512,78,13,54,57,73,1066,114,640,312,546,68,345,133,520,46,295,179,35,2,2,12,0,7,11,1,7,0,25,1,8096.9108,47618,-1.31215335,40.56501265,985.0
    44210 Sarrión,44210,Aragón,Teruel,21.457821457821456,1221,1391,155,234,240,542,61,5,133,64,144,1189,211,733,245,616,103,396,117,573,108,337,128,25,0,5,7,0,5,10,4,1,4,16,0,14028.08,50237,-0.81521369,40.14094343,988.0
    44216 Teruel,44216,Aragón,Teruel,10.479292694276406,21490,1770,903,2518,9637,17269,1897,500,1860,1407,3326,35898,5639,23214,7045,17105,2868,11310,2927,18793,2771,11904,4118,1223,98,179,214,86,281,365,24,114,72,878,135,44041.4455,109232,-1.10927177,40.34412951,915.0
    44238 Utrillas,44238,Aragón,Teruel,15.517241379310343,1798,1975,97,223,1008,1326,146,58,121,90,246,2996,406,2013,577,1535,206,1059,270,1461,200,954,307,137,9,20,16,3,41,47,4,22,5,94,12,3982.097,37847,-0.84316294,40.81347559,948.0
    44246 Valderrobres,44246,Aragón,Teruel,13.649677797305213,1707,2030,112,234,580,982,133,49,266,198,233,2441,391,1569,481,1256,198,844,214,1185,193,725,267,51,3,11,9,3,11,16,2,9,7,32,5,12404.68,81867,0.1557343,40.87590223,515.0
    50006 Ainzón,50006,Aragón,Zaragoza,23.157894736842103,855,2275,62,114,367,509,79,3,27,19,59,1063,110,697,256,543,57,386,100,520,53,311,156,43,0,5,10,2,8,20,5,11,2,26,2,4045.6968,28782,-1.51925171,41.81670398,432.0
    50008 Alagón,50008,Aragón,Zaragoza,10.257847533632289,3568,2660,72,228,2369,2824,731,61,280,252,594,7112,1092,4717,1303,3569,567,2434,568,3543,525,2283,735,298,9,36,70,11,52,120,23,41,13,187,34,2419.11,26465,-1.12214332,41.77030322,235.0
    50017 Alfajarín,50017,Aragón,Zaragoza,19.33333333333333,1350,2743,28,89,842,785,362,14,72,63,234,2372,406,1524,442,1214,203,800,211,1158,203,724,231,84,1,13,18,3,13,34,2,16,2,60,5,13829.84,65211,-0.70180187,41.61525007,193.0
    50018 Alfamén,50018,Aragón,Zaragoza,7.617728531855955,722,2555,27,70,337,639,114,2,50,187,129,1458,208,973,277,764,103,530,131,694,105,443,146,48,2,3,10,4,7,22,7,8,4,28,2,10194.17,40458,-1.24312168,41.43981344,446.0
    50034 Ariza,50034,Aragón,Zaragoza,34.56669912366115,1027,1903,76,134,286,537,61,2,57,44,81,1068,162,597,309,550,85,331,134,518,77,266,175,30,2,1,6,5,8,9,4,2,5,13,8,10308.3347,46386,-2.05613753,41.31268123,749.0
    50038 Ateca,50038,Aragón,Zaragoza,30.79448456992777,1523,1987,75,164,464,946,119,12,53,56,72,1722,157,1057,508,887,92,562,233,835,65,495,275,56,5,4,16,5,9,26,5,13,5,30,1,8471.13,58569,-1.79352304,41.33091735,606.0
    50045 Belchite,50045,Aragón,Zaragoza,11.587591240875913,1096,1768,68,166,409,758,191,13,43,35,90,1539,156,927,456,773,80,495,198,766,76,432,258,55,4,6,15,3,7,22,9,8,2,35,4,27553.67,106160,-0.74526089,41.29984463,448.0
    50055 Borja,50055,Aragón,Zaragoza,26.666666666666668,3930,2080,209,430,1486,2134,522,29,223,164,485,5043,863,3186,994,2580,468,1671,441,2463,395,1515,553,189,10,26,46,10,39,58,14,37,7,116,15,10723.4,64772,-1.53215004,41.83498182,459.0
    50057 Brea de Aragón,50057,Aragón,Zaragoza,19.052319842053304,1013,2605,39,104,504,843,84,0,19,18,89,1557,173,952,432,789,92,497,200,768,81,455,232,36,5,5,7,3,5,19,4,16,5,12,3,1337.5557,16378,-1.60027978,41.52358252,552.0
    50066 Cadrete,50066,Aragón,Zaragoza,13.0188679245283,2650,2201,66,251,1220,715,1384,62,279,154,515,4329,846,2991,492,2277,433,1589,255,2052,413,1402,237,187,6,19,55,4,45,59,4,22,14,140,8,1189.71,20086,-0.95980215,41.55506015,313.0
    50067 Calatayud,50067,Aragón,Zaragoza,16.959677419354836,12400,1934,453,1230,6384,8037,1291,96,1335,1132,1593,19869,2865,12984,4020,9802,1496,6597,1709,10067,1369,6387,2311,881,43,95,193,45,198,307,70,71,50,609,81,15508.77,68420,-1.64472637,41.35431931,536.0
    50068 Calatorao,50068,Aragón,Zaragoza,27.128503437334743,1891,2772,58,141,790,1271,213,7,136,216,268,2901,448,1840,613,1522,225,1015,282,1379,223,825,331,115,5,15,25,3,20,46,17,23,6,59,10,4842.44,33701,-1.34507004,41.52342482,357.0
    50073 Cariñena,50073,Aragón,Zaragoza,18.801353310778158,2069,2173,60,203,996,1480,251,17,100,226,294,3365,493,2213,659,1710,229,1182,299,1655,264,1031,360,103,4,17,18,3,23,41,14,24,1,58,5,8250.9136,40251,-1.22327064,41.33816994,591.0
    50074 Caspe,50074,Aragón,Zaragoza,18.524501884760365,5571,2331,178,493,2604,4383,334,152,503,1097,1095,10168,1705,6490,1973,5411,913,3613,885,4757,792,2877,1088,455,21,40,53,20,143,178,78,42,16,221,98,50315.314,120910,-0.03750663,41.23639012,149.0
    50089 Cuarte de Huerva,50089,Aragón,Zaragoza,4.432624113475177,5640,2289,77,327,4738,1694,3524,225,909,475,2189,13754,3520,9362,872,7000,1808,4782,410,6754,1712,4580,462,434,18,64,70,11,110,161,2,64,26,319,21,879.55,18822,-0.92991614,41.58939012,298.0
    50094 Daroca,50094,Aragón,Zaragoza,27.041942604856512,1812,1666,133,265,531,883,139,28,92,94,142,1909,242,1152,515,930,131,584,215,979,111,568,300,46,5,6,16,5,5,15,4,5,1,40,0,5204.5736,34436,-1.41677154,41.11515254,782.0
    50095 Ejea de los Caballeros,50095,Aragón,Zaragoza,16.15032470989034,9393,2287,241,799,5421,7685,660,74,726,1034,1462,17062,2482,11215,3365,8785,1282,5970,1533,8277,1200,5245,1832,673,28,90,136,39,145,235,81,110,41,374,67,61350.86,141392,-1.138547,42.126751,322.0
    50099 Épila,50099,Aragón,Zaragoza,22.40829346092504,2508,2557,79,216,1221,2031,284,21,125,229,475,4386,770,2778,838,2270,385,1492,393,2116,385,1286,445,308,14,64,52,15,72,91,71,37,10,156,34,19432.1294,83203,-1.28180937,41.60133359,333.0
    50101 Escatrón,50101,Aragón,Zaragoza,36.31436314363143,1107,2307,57,106,254,483,98,42,97,51,95,1120,138,686,296,558,51,365,142,562,87,321,154,68,5,10,12,1,20,22,1,3,6,49,5,9509.76,61553,-0.32422923,41.29269832,145.0
    50102 Fabara,50102,Aragón,Zaragoza,32.25806451612903,744,2479,34,52,307,573,26,6,42,70,69,1096,113,651,332,593,65,364,164,503,48,287,168,16,1,1,7,1,0,1,3,3,2,7,2,10174.2,58619,0.16695357,41.17861328,244.0
    50107 Figueruelas,50107,Aragón,Zaragoza,12.191103789126853,607,2759,8,39,396,582,116,6,28,32,93,1253,173,851,229,626,89,427,110,627,84,424,119,38,0,5,5,5,8,23,0,4,0,30,5,1687.11,20647,-1.17295475,41.76756534,249.0
    50115 Fuentes de Ebro,50115,Aragón,Zaragoza,15.70552147239264,2445,2716,56,174,1368,2166,326,34,152,154,426,4627,732,3013,882,2398,384,1582,432,2229,348,1431,450,166,7,15,26,8,28,82,13,21,9,102,21,14117.26,63875,-0.63028731,41.51287994,192.0
    50118 Gallur,50118,Aragón,Zaragoza,28.53416797078769,1917,2398,59,162,837,1235,181,7,83,49,165,2557,287,1644,626,1300,156,868,276,1257,131,776,350,128,10,13,24,7,21,53,10,27,6,66,19,4172.2,32074,-1.31823382,41.87010862,251.0
